item_id,order_id,product_id,quantity,unit_price,discount_percent
I00150,O0264,P0231,5,2317.34,42.24
I00151,O0093,P0070,1,3405.07,79.21
I00152,O0154,P0275,3,1001.36,63.34
I00153,O0387,P0230,5,1777.88,39.88
I00154,O0453,P0262,5,2819.81,80.74
I00155,O0376,P0367,3,4189.5,53.44
I00156,O0485,P0011,4,3904.82,70.65
I00157,O0467,P0398,5,3459.99,58.92
I00158,O0332,P0089,5,4355.84,14.82
I00159,O0216,P0180,1,1077.28,10.03
I00160,O0136,P0276,1,3459.77,67.25
I00161,O0035,P0103,2,2662.54,68.76
I00162,O0023,P0447,3,4000.74,25.25
I00163,O0472,P0241,2,539.86,31.25
I00164,O0462,P0456,4,3218.16,40.35
I00165,O0059,P0062,2,3119.56,72.39
I00166,O0442,P0002,1,1662.99,84.79
I00167,O0310,P0216,2,2512.51,12.88
I00168,O0177,P0210,4,4753.84,87.36
I00169,O0202,P0188,3,3413.89,4.52
I00170,O0132,P0009,2,2804.84,29.91
I00171,O0180,P0224,2,2377.06,10.16
I00172,O0412,P0150,2,4931.35,82.68
I00173,O0200,P0297,2,835.95,39.0
I00174,O0318,P0289,4,3252.3,62.85
I00175,O0365,P0093,2,427.78,10.67
I00176,O0312,P0058,4,2116.8,36.33
I00177,O0336,P0418,3,3055.68,42.78
I00178,O0464,P0307,3,1458.97,56.98
I00179,O0197,P0409,1,3338.73,85.34
I00180,O0440,P0142,3,1806.94,2.56
I00181,O0375,P0361,1,1566.58,1.52
I00182,O0118,P0016,4,2576.89,1.62
I00184,O0276,P0085,1,2167.14,70.67
I00185,O0374,P0159,5,3598.08,86.11
I00186,O0497,P0082,4,2401.5,10.46
I00187,O0258,P0358,2,601.24,77.41
I00188,O0209,P0374,2,1665.97,22.68
I00189,O0286,P0247,2,4237.6,15.71
I00190,O0158,P0015,5,1877.67,48.31
I00191,O0097,P0112,3,962.63,63.3
I00192,O0051,P0223,5,4492.45,98.98
I00193,O0221,P0208,5,3941.2,78.86
I00194,O0393,P0255,4,3613.54,2.74
I00195,O0387,P0434,4,4104.14,19.41
I00196,O0009,P0144,2,661.74,44.39
I00197,O0034,P0465,2,1382.29,19.61
I00198,O0279,P0367,3,2872.14,46.3
I00199,O0268,P0296,2,3417.69,66.31
I00200,O0081,P0300,2,3930.84,83.41
I00201,O0400,P0179,2,4044.6,54.42
I00202,O0299,P0354,3,2066.73,93.84
I00203,O0269,P0382,4,2661.21,7.86
I00204,O0071,P0312,5,1862.78,98.48
I00205,O0476,P0095,5,985.95,26.71
I00206,O0427,P0194,1,3471.46,76.23
I00207,O0179,P0232,2,345.74,71.55
I00208,O0192,P0360,2,4936.41,28.11
I00209,O0416,P0015,1,4195.08,57.13
I00210,O0488,P0141,1,1763.65,15.71
I00211,O0243,P0395,2,1816.6,24.75
I00212,O0377,P0081,2,1648.01,32.63
I00213,O0368,P0020,5,4164.67,29.81
I00214,O0455,P0349,2,1303.54,27.68
I00215,O0114,P0239,5,2404.68,21.63
I00216,O0236,P0156,1,1343.05,80.72
I00217,O0086,P0064,4,2372.39,20.29
I00218,O0309,P0368,3,3004.25,96.62
I00219,O0015,P0215,3,1763.34,40.0
I00220,O0398,P0099,4,4151.72,31.43
I00221,O0485,P0322,3,2194.28,1.29
I00222,O0410,P0079,3,3833.99,67.31
I00223,O0447,P0266,2,3479.7,11.41
I00224,O0039,P0224,1,3090.46,83.84
I00225,O0422,P0146,4,4228.65,22.23
I00226,O0272,P0346,5,3517.91,4.44
I00227,O0287,P0423,5,1669.82,62.62
I00228,O0097,P0393,4,141.19,34.86
I00229,O0134,P0162,1,489.62,70.7
I00230,O0110,P0447,4,821.15,91.2
I00231,O0345,P0473,2,1229.68,65.17
I00232,O0290,P0030,2,1109.81,31.74
I00234,O0363,P0203,2,2419.93,53.01
I00235,O0232,P0325,1,4747.94,80.21
I00236,O0043,P0452,1,2963.26,15.2
I00237,O0349,P0028,1,2173.91,68.61
I00238,O0184,P0096,5,3999.52,29.62
I00239,O0497,P0486,5,2638.26,38.27
I00240,O0420,P0213,4,163.1,6.8
I00241,O0380,P0042,4,4084.5,88.53
I00242,O0316,P0242,5,2150.21,97.53
I00243,O0075,P0418,4,3675.47,42.96
I00244,O0395,P0275,4,4927.15,67.6
I00245,O0107,P0488,2,3960.67,11.15
I00246,O0182,P0427,3,1320.51,24.86
I00247,O0089,P0352,2,2858.34,93.59
I00248,O0333,P0315,5,621.91,74.17
I00249,O0165,P0412,3,1119.07,47.55
I00250,O0031,P0241,5,4195.4,61.51
I00251,O0374,P0199,2,2560.68,94.84
I00252,O0280,P0447,4,3469.0,3.22
I00253,O0112,P0198,1,3612.15,69.09
I00254,O0141,P0413,2,2550.9,51.9
I00255,O0415,P0237,2,4242.69,18.22
I00256,O0429,P0177,4,4085.93,59.91
I00257,O0404,P0047,4,2004.19,67.62
I00258,O0251,P0285,4,444.64,53.56
I00259,O0406,P0480,5,3621.36,92.96
I00260,O0482,P0223,5,1672.34,6.88
I00261,O0181,P0481,4,2422.81,35.73
I00262,O0100,P0204,2,555.41,58.16
I00263,O0407,P0284,3,1060.08,32.4
I00264,O0377,P0195,3,2231.6,11.35
I00265,O0235,P0076,5,1911.74,18.68
I00266,O0074,P0437,1,2390.17,72.29
I00267,O0224,P0095,5,2782.76,18.84
I00268,O0028,P0255,3,3364.45,55.64
I00269,O0463,P0454,3,2577.68,15.07
I00270,O0393,P0154,4,4840.04,24.61
I00271,O0489,P0125,3,2513.38,18.56
I00272,O0005,P0151,3,2582.93,80.31
I00273,O0323,P0068,2,3831.08,65.94
I00274,O0068,P0002,2,293.52,87.47
I00275,O0262,P0253,5,4668.11,46.86
I00276,O0196,P0397,4,3798.3,0.94
I00277,O0102,P0124,5,801.33,0.77
I00278,O0224,P0256,1,4727.78,74.37
I00279,O0083,P0270,5,3676.69,91.04
I00280,O0439,P0324,1,670.77,15.68
I00281,O0115,P0256,5,383.85,2.31
I00282,O0287,P0057,4,1508.34,10.08
I00283,O0484,P0390,5,4590.08,7.12
I00284,O0218,P0472,5,1395.84,71.34
I00286,O0062,P0239,3,4403.13,2.02
I00287,O0269,P0497,1,4639.28,37.87
I00288,O0143,P0499,5,414.76,59.85
I00289,O0437,P0215,2,4473.62,11.58
I00290,O0301,P0392,5,4802.59,92.99
I00291,O0238,P0270,3,1311.42,38.82
I00292,O0405,P0470,2,2701.89,58.61
I00293,O0167,P0297,2,3233.05,55.88
I00294,O0200,P0304,5,231.27,39.06
I00295,O0484,P0168,2,3866.12,23.91
I00296,O0445,P0213,2,1389.01,14.84
I00297,O0083,P0175,2,4298.26,76.44
I00298,O0486,P0041,3,1909.63,49.29
I00299,O0491,P0420,1,2324.38,48.46
I00300,O0083,P0498,3,1326.37,6.21
I00301,O0051,P0367,4,2538.62,24.85
I00302,O0306,P0008,5,1623.28,6.22
I00303,O0319,P0439,4,292.3,48.25
I00304,O0205,P0009,3,256.52,55.6
I00305,O0032,P0301,5,3773.06,75.34
I00306,O0180,P0388,2,3802.71,41.21
I00307,O0435,P0225,1,2411.44,63.71
I00308,O0319,P0305,2,3230.55,34.6
I00309,O0241,P0221,3,3653.22,52.19
I00310,O0028,P0088,2,3707.79,34.44
I00311,O0299,P0361,4,4309.02,23.93
I00312,O0379,P0447,5,3536.02,63.18
I00313,O0201,P0117,3,3980.13,67.75
I00314,O0429,P0144,3,1718.42,45.95
I00315,O0263,P0305,4,974.02,82.68
I00316,O0312,P0307,5,510.37,79.16
I00317,O0202,P0153,4,3096.88,29.59
I00318,O0482,P0100,3,4753.82,93.5
I00319,O0161,P0079,2,208.23,66.17
I00320,O0265,P0297,2,4863.74,49.7
I00321,O0471,P0471,5,1917.39,80.42
I00322,O0205,P0128,5,1947.62,36.29
I00323,O0089,P0313,4,814.07,64.34
I00324,O0009,P0128,4,968.22,69.65
I00325,O0476,P0438,2,4781.68,58.06
I00326,O0057,P0064,1,586.69,32.52
I00327,O0233,P0238,1,4247.91,39.54
I00328,O0079,P0286,2,1969.85,18.08
I00329,O0444,P0114,1,1499.19,10.68
I00330,O0215,P0412,3,4998.59,43.72
I00331,O0234,P0494,2,3656.75,82.3
I00332,O0240,P0420,1,1441.76,6.52
I00333,O0085,P0410,1,747.45,58.25
I00334,O0235,P0483,4,1599.21,83.64
I00335,O0095,P0047,1,1296.86,37.27
I00336,O0076,P0405,2,2740.85,13.77
I00337,O0420,P0447,3,4055.16,39.79
I00338,O0362,P0057,5,172.18,11.06
I00339,O0115,P0289,1,1906.11,99.82
I00340,O0263,P0042,1,3846.95,99.75
I00341,O0343,P0376,5,1016.98,62.25
I00342,O0004,P0445,3,1202.97,67.25
I00343,O0318,P0286,2,1779.86,60.38
I00344,O0161,P0171,2,4680.26,46.29
I00345,O0423,P0469,3,4895.13,23.49
I00346,O0005,P0001,2,1252.31,46.67
I00347,O0191,P0089,4,2453.18,12.28
I00348,O0001,P0074,2,441.27,8.06
I00349,O0283,P0145,3,2996.75,24.7
I00350,O0308,P0430,4,1884.32,93.24
I00351,O0419,P0188,1,489.13,29.54
I00352,O0410,P0159,4,3125.96,32.25
I00353,O0196,P0013,3,4134.02,65.19
I00354,O0349,P0498,5,3420.55,25.89
I00355,O0455,P0309,3,1076.98,79.7
I00356,O0460,P0384,1,4627.64,63.56
I00357,O0317,P0303,5,514.22,39.25
I00358,O0202,P0260,5,4739.53,41.78
I00359,O0088,P0074,3,704.14,66.22
I00360,O0359,P0449,4,1441.49,57.15
I00361,O0413,P0174,4,3584.14,10.44
I00362,O0062,P0383,5,788.85,61.91
I00363,O0118,P0426,5,1364.1,47.02
I00364,O0357,P0107,2,677.13,15.65
I00365,O0377,P0005,5,2898.94,77.85
I00366,O0394,P0254,5,4854.5,32.94
I00367,O0248,P0339,3,4081.25,96.44
I00368,O0214,P0217,3,4887.96,75.72
I00370,O0035,P0127,2,2511.35,12.96
I00371,O0017,P0445,5,2739.71,88.29
I00372,O0405,P0018,1,4634.53,64.94
I00373,O0108,P0204,4,4049.93,62.81
I00374,O0383,P0156,5,1972.94,29.39
I00375,O0081,P0283,5,1276.72,89.85
I00376,O0237,P0405,4,1659.77,56.81
I00377,O0101,P0164,3,4768.46,81.05
I00378,O0128,P0019,5,878.84,43.93
I00379,O0352,P0318,2,3096.24,23.68
I00380,O0239,P0410,2,2501.65,72.83
I00381,O0157,P0270,4,3418.37,73.36
I00382,O0047,P0113,4,644.83,1.84
I00383,O0369,P0075,2,4903.81,72.69
I00384,O0102,P0190,3,2556.7,70.54
I00385,O0493,P0447,3,588.3,16.84
I00386,O0040,P0410,5,3492.07,48.55
I00387,O0088,P0019,3,266.1,35.91
I00388,O0297,P0311,2,541.14,41.88
I00389,O0149,P0227,3,1858.95,28.05
I00390,O0238,P0041,4,374.84,57.16
I00391,O0489,P0010,2,834.1,99.49
I00392,O0498,P0157,4,1866.38,18.85
I00393,O0119,P0072,1,418.82,56.78
I00394,O0439,P0121,5,3264.73,96.72
I00395,O0421,P0165,2,2397.42,47.48
I00397,O0269,P0453,2,2346.18,30.86
I00398,O0049,P0140,2,4770.64,9.04
I00399,O0013,P0484,5,2807.76,21.76
I00400,O0321,P0225,1,923.92,21.54
I00401,O0491,P0339,3,3600.82,60.02
I00403,O0404,P0417,1,2579.26,34.68
I00404,O0250,P0399,2,4597.74,32.12
I00405,O0337,P0082,4,2381.63,35.22
I00406,O0218,P0070,5,4764.62,8.49
I00407,O0449,P0351,1,2499.1,73.76
I00408,O0176,P0229,3,3533.96,58.4
I00409,O0056,P0336,4,774.48,63.56
I00410,O0396,P0436,1,1398.0,76.83
I00411,O0239,P0181,4,3534.99,41.29
I00412,O0300,P0072,5,305.49,74.61
I00413,O0104,P0364,2,1617.54,63.7
I00414,O0124,P0048,3,3332.14,13.17
I00415,O0147,P0227,5,825.54,20.47
I00416,O0389,P0497,4,4387.07,42.46
I00417,O0127,P0130,4,327.61,10.94
I00418,O0027,P0256,2,189.8,32.19
I00419,O0481,P0401,5,4744.41,81.57
I00420,O0482,P0440,3,2873.72,20.75
I00421,O0423,P0029,1,3174.41,6.13
I00422,O0296,P0122,2,307.67,97.89
I00423,O0309,P0421,3,2673.74,42.07
I00424,O0325,P0477,4,465.51,94.38
I00425,O0258,P0304,2,3187.15,24.18
I00426,O0251,P0080,3,3110.56,36.02
I00427,O0473,P0188,5,2090.25,66.03
I00428,O0454,P0315,2,1493.37,59.43
I00429,O0318,P0114,2,2542.57,23.63
I00430,O0427,P0353,5,3653.18,55.52
I00431,O0453,P0437,1,1675.28,16.04
I00432,O0496,P0203,2,1653.45,47.2
I00433,O0430,P0297,3,3216.9,15.78
I00434,O0240,P0317,5,3762.84,27.93
I00435,O0080,P0415,1,4836.58,99.58
I00436,O0018,P0181,3,4543.23,66.88
I00437,O0366,P0279,5,841.34,41.87
I00438,O0418,P0352,1,4825.9,85.27
I00439,O0266,P0308,5,2426.35,1.71
I00440,O0310,P0205,2,4564.62,73.13
I00441,O0380,P0474,3,1942.18,4.64
I00442,O0422,P0089,1,3004.32,3.45
I00443,O0084,P0241,4,2729.61,3.76
I00444,O0250,P0372,2,4547.36,69.4
I00445,O0495,P0174,1,3040.5,85.26
I00446,O0220,P0224,3,209.83,4.85
I00447,O0294,P0472,3,4853.66,12.24
I00450,O0196,P0391,2,1477.06,94.24
I00451,O0373,P0108,5,275.1,41.4
I00452,O0475,P0241,2,2366.16,44.58
I00453,O0116,P0331,1,350.3,22.49
I00454,O0147,P0132,3,2818.46,94.94
I00455,O0042,P0360,4,1419.43,73.18
I00456,O0103,P0107,3,2343.12,25.79
I00457,O0396,P0040,1,3588.13,90.19
I00458,O0154,P0042,3,3060.5,48.99
I00459,O0148,P0063,2,1520.46,83.21
I00460,O0150,P0160,2,4781.05,85.3
I00461,O0229,P0179,5,1889.52,18.55
I00462,O0216,P0252,4,4897.93,78.51
I00463,O0010,P0453,2,277.4,94.11
I00464,O0094,P0218,5,1843.74,13.72
I00465,O0054,P0257,1,3800.03,18.19
I00466,O0387,P0011,1,4447.85,29.59
I00467,O0275,P0261,5,3301.6,79.57
I00468,O0034,P0156,5,3462.76,36.25
I00469,O0176,P0015,5,165.69,23.52
I00470,O0086,P0051,2,2852.71,61.0
I00471,O0332,P0399,3,2624.78,38.94
I00472,O0388,P0126,4,3922.04,69.91
I00473,O0064,P0027,5,2167.83,92.74
I00474,O0035,P0219,5,1545.75,90.14
I00475,O0141,P0462,1,2391.02,69.83
I00476,O0305,P0254,4,1357.41,32.17
I00477,O0066,P0156,3,1654.83,73.86
I00478,O0290,P0431,5,2970.75,30.85
I00479,O0220,P0111,1,4123.68,35.21
I00480,O0295,P0206,2,3144.03,61.99
I00481,O0145,P0164,1,742.88,88.72
I00482,O0272,P0119,2,3635.15,55.29
I00484,O0303,P0020,2,4783.75,81.03
I00485,O0157,P0090,2,2257.34,4.61
I00486,O0423,P0355,4,1412.72,81.7
I00487,O0250,P0175,5,4063.43,39.64
I00488,O0075,P0490,5,1196.22,36.61
I00489,O0469,P0366,1,3359.31,68.04
I00490,O0366,P0358,2,4491.58,95.68
I00491,O0300,P0191,2,160.37,21.2
I00492,O0278,P0341,1,2574.18,8.58
I00493,O0020,P0123,1,1658.81,9.99
I00494,O0147,P0295,3,4013.71,91.22
I00495,O0198,P0203,2,1725.12,33.14
I00496,O0275,P0157,3,1581.57,60.59
I00497,O0239,P0246,5,4151.2,16.13
I00498,O0421,P0079,5,4468.27,2.06
I00499,O0381,P0355,2,1884.61,1.46
I00500,O0302,P0472,1,3290.75,56.01
I00501,O0181,P0154,1,4133.38,55.57
I00502,O0018,P0475,1,360.91,65.27
I00503,O0194,P0198,2,1477.41,76.11
I00504,O0213,P0460,5,1944.62,46.94
I00505,O0398,P0146,3,624.88,12.26
I00506,O0126,P0291,5,3013.18,41.93
I00507,O0463,P0429,5,1860.58,84.1
I00508,O0153,P0219,1,344.9,71.18
I00509,O0296,P0303,1,2856.62,91.49
I00511,O0380,P0334,4,2727.9,54.08
I00512,O0205,P0127,5,925.15,36.45
I00513,O0313,P0420,3,746.41,43.09
I00514,O0473,P0147,4,773.37,22.16
I00515,O0050,P0497,5,910.95,29.68
I00516,O0233,P0115,2,2641.16,32.44
I00517,O0088,P0468,1,4300.59,45.68
I00518,O0201,P0240,4,3404.74,57.49
I00520,O0206,P0089,3,4907.75,75.14
I00521,O0354,P0140,5,4439.92,18.38
I00522,O0139,P0478,4,1860.18,40.29
I00524,O0322,P0349,5,2439.1,70.88
I00525,O0135,P0138,2,3466.83,16.36
I00526,O0400,P0050,1,3929.95,20.29
I00528,O0080,P0419,1,3296.13,88.26
I00529,O0268,P0449,1,3611.26,71.98
I00530,O0082,P0466,2,3446.49,98.73
I00531,O0078,P0171,2,1412.41,87.77
I00532,O0441,P0089,5,2805.52,59.94
I00533,O0074,P0131,3,2376.57,68.7
I00534,O0402,P0135,5,3907.46,51.96
I00535,O0182,P0223,3,2481.82,40.33
I00536,O0365,P0071,4,492.87,1.95
I00537,O0146,P0201,4,2304.48,9.84
I00538,O0189,P0415,5,4187.1,55.45
I00539,O0426,P0400,2,2510.3,84.21
I00540,O0462,P0171,5,313.12,20.98
I00541,O0369,P0419,4,1799.85,87.33
I00542,O0048,P0495,1,2402.74,2.8
I00543,O0172,P0141,1,276.76,29.46
I00545,O0189,P0313,1,1441.65,87.65
I00546,O0307,P0043,5,3791.0,36.93
I00547,O0251,P0128,1,947.04,77.76
I00548,O0107,P0011,4,676.25,66.51
I00549,O0304,P0394,1,1764.8,70.14
I00550,O0106,P0279,1,2041.93,29.73
I00551,O0414,P0090,4,1593.55,69.64
I00552,O0075,P0103,5,2399.7,24.6
I00553,O0217,P0241,5,1653.93,55.14
I00554,O0413,P0113,2,3654.84,76.13
I00555,O0397,P0109,5,1097.72,29.11
I00556,O0384,P0461,5,2103.83,98.43
I00557,O0486,P0366,4,1880.43,21.92
I00558,O0129,P0019,3,4683.21,91.55
I00559,O0130,P0473,5,4863.21,84.32
I00560,O0442,P0403,3,2717.73,32.22
I00561,O0284,P0100,5,4450.99,81.42
I00562,O0439,P0460,5,1521.82,29.91
I00563,O0229,P0130,1,344.02,8.29
I00564,O0043,P0195,5,708.84,89.13
I00565,O0232,P0324,2,2096.75,83.05
I00566,O0067,P0049,2,1040.42,62.58
I00567,O0458,P0474,5,4655.41,47.66
I00568,O0474,P0398,4,1108.39,2.45
I00569,O0244,P0464,2,3822.48,63.79
I00570,O0062,P0227,5,3858.61,67.99
I00571,O0368,P0165,5,777.57,53.39
I00572,O0367,P0176,1,2790.73,46.77
I00573,O0331,P0059,2,3523.69,38.07
I00574,O0116,P0052,2,3674.73,83.21
I00575,O0437,P0389,2,2059.11,0.01
I00576,O0090,P0322,4,1610.97,22.05
I00577,O0488,P0077,5,1087.97,31.94
I00578,O0132,P0305,5,2278.94,92.47
I00579,O0218,P0077,5,3243.82,71.44
I00580,O0464,P0043,2,2775.7,54.41
I00581,O0497,P0336,5,1074.64,26.55
I00582,O0333,P0429,2,4979.33,1.71
I00583,O0477,P0113,1,2332.9,57.48
I00584,O0415,P0273,5,904.18,23.46
I00585,O0473,P0455,3,2113.46,59.9
I00586,O0414,P0354,3,3659.25,10.54
I00588,O0265,P0341,1,601.74,40.74
I00589,O0032,P0341,3,3454.51,86.36
I00590,O0031,P0117,5,2055.82,71.13
I00591,O0399,P0481,3,871.31,16.57
I00592,O0408,P0313,3,198.77,78.63
I00593,O0306,P0082,5,3965.57,98.83
I00594,O0084,P0408,4,2519.65,11.05
I00595,O0182,P0267,2,443.6,42.18
I00596,O0331,P0275,4,379.64,75.25
I00597,O0315,P0312,3,422.26,56.58
I00598,O0141,P0027,2,4574.18,62.18
I00599,O0385,P0300,2,4479.97,15.21
I00600,O0446,P0286,3,1993.71,55.39
I00601,O0295,P0053,3,4821.25,33.56
I00602,O0010,P0460,3,4845.7,72.42
I00603,O0215,P0311,1,3172.78,12.21
I00604,O0438,P0196,2,4679.94,96.29
I00605,O0048,P0331,4,3864.86,40.53
I00606,O0013,P0158,2,2173.29,5.28
I00608,O0110,P0009,1,3714.32,34.34
I00609,O0395,P0354,4,3741.91,1.09
I00610,O0346,P0322,1,4643.7,18.55
I00611,O0132,P0118,3,368.15,61.93
I00612,O0126,P0403,1,3265.96,26.35
I00613,O0487,P0345,3,4082.66,51.08
I00614,O0257,P0305,1,4362.74,5.42
I00615,O0355,P0294,3,1179.03,1.71
I00616,O0028,P0343,3,2222.59,96.34
I00617,O0286,P0489,2,893.43,8.43
I00618,O0489,P0467,5,1613.56,63.47
I00619,O0210,P0033,3,2527.96,90.12
I00620,O0373,P0227,3,2999.13,92.67
I00621,O0444,P0127,2,1946.75,55.4
I00622,O0198,P0009,5,2611.62,99.05
I00623,O0046,P0060,1,409.19,62.83
I00624,O0454,P0009,3,2637.63,0.94
I00625,O0168,P0450,5,3679.84,27.17
I00626,O0118,P0297,1,4652.25,67.34
I00627,O0375,P0097,1,283.45,52.1
I00628,O0472,P0500,2,2447.29,82.63
I00629,O0194,P0352,1,1830.99,92.87
I00630,O0152,P0258,3,164.25,35.19
I00631,O0067,P0305,4,910.07,81.37
