order_id,customer_id,order_date,status,region_code
O0089,C0370,2025-01-10 12:04:01,RETURNED,East
O0090,C0258,2026-01-03 12:04:01,RETURNED,West
O0091,C0144,2024-07-20 12:04:01,DELIVERED,South
O0092,C0361,2026-05-12 12:04:01,SHIPPED,West
O0093,C0279,2025-07-13 12:04:01,SHIPPED,West
O0094,C0075,2025-12-02 12:04:01,PLACED,West
O0095,C0307,2025-09-01 12:04:01,SHIPPED,East
O0096,,2026-05-22 12:04:01,RETURNED,North
O0097,C0134,2024-08-30 12:04:01,RETURNED,North
O0098,C0217,2024-07-27 12:04:01,CANCELLED,South
O0099,C0143,2026-01-09 12:04:01,RETURNED,West
O0100,C0224,2025-04-24 12:04:01,CANCELLED,East
O0101,C0038,2024-12-25 12:04:01,CANCELLED,West
O0102,C0406,2025-11-03 12:04:01,RETURNED,East
O0103,C0436,2026-06-17 12:04:01,DELIVERED,North
O0104,C0038,2025-09-01 12:04:01,PLACED,North
O0105,C0325,2025-05-09 12:04:01,DELIVERED,East
O0106,C0162,2025-12-28 12:04:01,RETURNED,East
O0107,,2025-05-01 12:04:01,RETURNED,North
O0108,C0470,2026-03-20 12:04:01,CANCELLED,North
O0109,C0474,2025-08-16 12:04:01,CANCELLED,North
O0110,C0256,2026-06-04 12:04:01,DELIVERED,North
O0111,C0112,2026-06-07 12:04:01,CANCELLED,East
O0112,C0356,2026-06-16 12:04:01,DELIVERED,East
O0113,C0439,2026-05-30 12:04:01,DELIVERED,North
O0114,C0129,2025-08-28 12:04:01,RETURNED,East
O0115,C0112,2025-05-09 12:04:01,DELIVERED,North
O0116,C0216,2025-05-27 12:04:01,RETURNED,West
O0117,C0443,2025-09-19 12:04:01,SHIPPED,East
O0118,C0191,2026-04-22 12:04:01,DELIVERED,West
O0119,C0484,2026-05-04 12:04:01,CANCELLED,North
O0120,C0417,2026-02-14 12:04:01,PLACED,West
O0121,C0305,2025-01-16 12:04:01,PLACED,South
O0122,C0378,2024-10-19 12:04:01,RETURNED,West
O0123,C0235,2025-09-09 12:04:01,PLACED,East
O0124,C0453,2026-05-19 12:04:01,CANCELLED,East
O0125,C0465,2025-11-10 12:04:01,PLACED,East
O0126,C0161,2025-10-02 12:04:01,DELIVERED,South
O0127,C0343,2025-12-11 12:04:01,CANCELLED,West
O0128,C0124,2025-03-26 12:04:01,RETURNED,East
O0129,C0008,2024-10-18 12:04:01,DELIVERED,South
O0130,C0332,2026-03-24 12:04:01,SHIPPED,North
O0131,C0469,2025-05-22 12:04:01,PLACED,South
O0132,C0372,2025-01-22 12:04:01,RETURNED,East
O0133,C0063,2025-02-11 12:04:01,DELIVERED,North
O0134,C0216,2025-06-19 12:04:01,DELIVERED,West
O0135,C0119,2026-01-06 12:04:01,PLACED,West
O0136,C0169,2025-08-15 12:04:01,CANCELLED,South
O0137,C0046,2026-06-13 12:04:01,PLACED,South
O0138,C0139,2024-11-07 12:04:01,CANCELLED,North
O0139,,2025-02-01 12:04:01,RETURNED,West
O0140,C0445,2025-09-18 12:04:01,SHIPPED,West
O0141,C0347,2025-07-31 12:04:01,PLACED,West
O0142,C0106,12-05-2026,DELIVERED,West
O0143,C0313,2025-06-23 12:04:01,CANCELLED,South
O0144,C0134,2024-09-18 12:04:01,CANCELLED,South
O0145,C0015,2025-09-08 12:04:01,PLACED,North
O0146,C0312,2024-12-20 12:04:01,CANCELLED,North
O0147,C0215,2025-09-13 12:04:01,SHIPPED,North
O0148,,2025-12-01 12:04:01,CANCELLED,West
O0149,C0115,2025-01-09 12:04:01,RETURNED,North
O0150,C0120,2025-03-27 12:04:01,SHIPPED,West
O0151,C0094,2026-06-25 12:04:01,RETURNED,North
O0152,C0440,2025-04-30 12:04:01,PLACED,East
O0153,C0307,2026-03-06 12:04:01,SHIPPED,West
O0154,C0272,2025-04-25 12:04:01,PLACED,South
O0155,C0182,2026-03-02 12:04:01,RETURNED,North
O0156,C0383,2026-02-23 12:04:01,RETURNED,North
O0157,C0170,2024-08-08 12:04:01,RETURNED,North
O0158,C0182,2025-10-15 12:04:01,CANCELLED,South
O0159,C0146,2026-05-06 12:04:01,CANCELLED,North
O0160,C0292,2026-04-08 12:04:01,DELIVERED,East
O0161,C0077,2025-06-27 12:04:01,SHIPPED,East
O0162,C0333,2025-04-20 12:04:01,DELIVERED,East
O0163,C0494,2025-01-18 12:04:01,CANCELLED,West
O0164,C0196,10-11-2024,RETURNED,East
O0165,C0311,2024-09-04 12:04:01,DELIVERED,West
O0166,C0304,2025-04-05 12:04:01,SHIPPED,West
O0167,C0226,2026-01-05 12:04:01,SHIPPED,East
O0168,C0246,2024-12-30 12:04:01,SHIPPED,East
O0169,C0263,2024-10-03 12:04:01,SHIPPED,East
O0170,C0035,2025-01-09 12:04:01,CANCELLED,West
O0171,C0466,2025-10-01 12:04:01,PLACED,West
O0172,C0189,2026-06-05 12:04:01,CANCELLED,North
O0173,C0496,2026-06-23 12:04:01,RETURNED,West
O0174,C0273,2025-09-23 12:04:01,CANCELLED,South
O0175,C0212,2024-12-22 12:04:01,PLACED,West
O0176,C0217,2025-11-10 12:04:01,CANCELLED,South
O0177,C0338,2025-01-20 12:04:01,CANCELLED,South
O0178,C0091,2026-02-22 12:04:01,SHIPPED,North
O0179,C0173,2025-09-25 12:04:01,CANCELLED,East
O0180,C0089,2024-12-12 12:04:01,CANCELLED,North
O0181,C0163,2026-03-27 12:04:01,PLACED,West
O0182,C0260,2025-03-04 12:04:01,DELIVERED,North
O0183,C0088,2026-06-22 12:04:01,SHIPPED,North
O0184,C0073,2025-01-14 12:04:01,DELIVERED,East
O0185,,2024-08-06 12:04:01,DELIVERED,East
O0186,C0399,2026-03-11 12:04:01,PLACED,East
O0187,C0293,2026-05-13 12:04:01,PLACED,West
O0188,C0121,08-04-2025,SHIPPED,South
O0189,C0133,2026-06-09 12:04:01,DELIVERED,West
O0190,C0137,2025-05-28 12:04:01,DELIVERED,South
O0191,C0009,2024-10-16 12:04:01,CANCELLED,South
O0192,C0408,2025-10-11 12:04:01,CANCELLED,South
O0193,C0194,2025-03-10 12:04:01,PLACED,East
O0194,C0158,2026-06-29 12:04:01,DELIVERED,North
O0195,C0174,2024-07-22 12:04:01,CANCELLED,South
O0196,C0323,2025-05-31 12:04:01,SHIPPED,West
O0197,C0130,2025-01-23 12:04:01,PLACED,South
O0198,C0456,2026-02-07 12:04:01,DELIVERED,East
O0199,C0223,2026-05-21 12:04:01,DELIVERED,South
O0200,C0161,2024-09-25 12:04:01,SHIPPED,North
O0201,C0366,2024-10-02 12:04:01,SHIPPED,North
O0202,C0219,2024-07-28 12:04:01,CANCELLED,South
O0203,C0078,19-09-2025,RETURNED,West
O0204,C0363,2025-09-25 12:04:01,DELIVERED,South
O0205,C0018,2026-05-03 12:04:01,RETURNED,North
O0206,C0162,2025-06-13 12:04:01,CANCELLED,West
O0207,C0066,2026-04-16 12:04:01,PLACED,North
O0208,C0128,2025-03-07 12:04:01,PLACED,South
O0209,C0447,2025-11-16 12:04:01,SHIPPED,West
O0210,C0190,2025-10-27 12:04:01,SHIPPED,South
O0211,C0438,2025-12-10 12:04:01,SHIPPED,West
O0212,,2024-11-07 12:04:01,RETURNED,West
O0213,C0368,2025-11-27 12:04:01,PLACED,North
O0214,C0262,2026-02-20 12:04:01,DELIVERED,East
O0215,C0327,2026-02-18 12:04:01,CANCELLED,East
O0216,C0006,2025-04-30 12:04:01,SHIPPED,North
O0217,C0079,2025-07-14 12:04:01,SHIPPED,South
O0218,C0252,2024-08-18 12:04:01,CANCELLED,North
O0219,C0406,2026-03-05 12:04:01,CANCELLED,South
O0220,C0366,2025-06-09 12:04:01,CANCELLED,East
O0221,C0153,2025-07-11 12:04:01,SHIPPED,North
O0222,C0058,2025-09-14 12:04:01,RETURNED,East
O0223,C0077,2025-12-07 12:04:01,DELIVERED,East
O0224,C0312,2025-02-08 12:04:01,CANCELLED,East
O0225,C0052,2026-01-21 12:04:01,RETURNED,East
O0226,C0005,2024-08-23 12:04:01,PLACED,East
O0227,C0306,2025-11-22 12:04:01,SHIPPED,West
O0228,C0099,2025-05-29 12:04:01,CANCELLED,East
O0229,C0439,27-08-2025,SHIPPED,South
O0230,C0203,2026-05-15 12:04:01,CANCELLED,South
O0231,C0425,2024-07-31 12:04:01,DELIVERED,South
O0232,C0332,2024-12-19 12:04:01,RETURNED,East
O0233,C0225,2025-06-21 12:04:01,RETURNED,East
O0234,C0341,2025-12-26 12:04:01,SHIPPED,South
O0235,C0101,2025-09-24 12:04:01,PLACED,North
O0236,C0312,2026-05-06 12:04:01,SHIPPED,South
O0237,C0005,2026-05-06 12:04:01,PLACED,South
O0238,C0144,2026-03-02 12:04:01,SHIPPED,East
O0239,C0115,09-03-2025,PLACED,East
O0240,C0245,20-05-2026,CANCELLED,North
O0241,C0469,2025-10-05 12:04:01,DELIVERED,East
O0242,C0125,16-09-2025,DELIVERED,West
O0243,C0233,2024-09-26 12:04:01,PLACED,North
O0244,C0334,2024-09-20 12:04:01,RETURNED,East
O0245,C0003,2025-07-19 12:04:01,RETURNED,West
O0246,,2025-05-26 12:04:01,SHIPPED,East
O0247,C0247,2025-12-27 12:04:01,DELIVERED,East
O0248,C0340,2025-05-05 12:04:01,DELIVERED,West
O0249,C0184,2025-01-03 12:04:01,DELIVERED,South
O0250,C0156,2025-03-04 12:04:01,PLACED,East
O0251,C0486,2026-04-25 12:04:01,SHIPPED,West
O0252,C0442,2025-10-05 12:04:01,PLACED,South
O0253,C0293,2026-02-01 12:04:01,PLACED,West
O0254,C0452,2025-11-12 12:04:01,RETURNED,West
O0255,C0059,2026-01-18 12:04:01,RETURNED,South
O0256,C0037,31-07-2024,PLACED,North
O0257,C0490,2024-08-08 12:04:01,RETURNED,East
O0258,C0132,2026-05-06 12:04:01,CANCELLED,East
O0259,C0073,2026-07-05 12:04:01,CANCELLED,East
O0260,C0131,2026-06-09 12:04:01,CANCELLED,East
O0261,C0100,2026-06-13 12:04:01,RETURNED,East
O0262,C0231,2024-09-11 12:04:01,DELIVERED,North
O0263,C0072,2025-10-08 12:04:01,CANCELLED,North
O0264,C0264,2025-06-30 12:04:01,PLACED,South
O0265,C0207,29-08-2025,SHIPPED,East
O0266,C0281,2026-04-10 12:04:01,PLACED,West
O0267,C0443,03-07-2026,DELIVERED,North
O0268,C0324,07-08-2025,DELIVERED,North
O0269,C0087,2025-12-16 12:04:01,DELIVERED,South
O0270,C0358,2025-08-14 12:04:01,PLACED,North
O0271,C0339,2025-07-21 12:04:01,PLACED,North
O0272,C0137,15-03-2026,DELIVERED,South
O0273,C0416,2026-06-24 12:04:01,CANCELLED,North
O0274,C0026,2026-04-24 12:04:01,DELIVERED,East
O0275,C0226,2024-08-17 12:04:01,RETURNED,South
O0276,C0190,2025-07-18 12:04:01,PLACED,West
O0277,C0244,2025-09-10 12:04:01,PLACED,South
O0278,C0454,2025-09-24 12:04:01,CANCELLED,North
O0279,C0270,2025-06-03 12:04:01,PLACED,South
O0280,C0283,31-08-2025,CANCELLED,North
O0281,C0347,2025-01-04 12:04:01,RETURNED,South
O0282,C0309,2025-11-23 12:04:01,DELIVERED,South
O0283,C0065,2025-05-21 12:04:01,RETURNED,West
O0284,C0052,2025-11-26 12:04:01,RETURNED,South
O0285,C0437,2024-11-03 12:04:01,PLACED,South
O0286,C0423,2024-07-20 12:04:01,PLACED,East
O0287,,2025-02-28 12:04:01,RETURNED,North
O0288,C0181,2025-03-09 12:04:01,PLACED,West
O0289,C0013,2025-03-02 12:04:01,DELIVERED,North
O0290,C0178,2025-07-15 12:04:01,RETURNED,West
O0291,C0341,2026-04-11 12:04:01,CANCELLED,East
O0292,C0006,03-04-2026,PLACED,South
O0293,C0230,2024-09-26 12:04:01,RETURNED,North
O0294,C0121,2025-07-23 12:04:01,PLACED,North
O0295,C0220,2026-04-14 12:04:01,SHIPPED,West
O0296,C0472,2025-08-04 12:04:01,SHIPPED,South
O0297,C0419,2025-03-07 12:04:01,CANCELLED,West
O0298,C0174,2025-04-30 12:04:01,RETURNED,West
O0299,C0024,2025-07-25 12:04:01,RETURNED,East
O0300,C0403,2024-09-18 12:04:01,DELIVERED,South
O0301,C0098,2026-07-05 12:04:01,SHIPPED,West
O0302,C0033,2025-06-19 12:04:01,SHIPPED,West
O0303,C0419,2025-07-28 12:04:01,PLACED,East
O0304,C0359,2025-12-23 12:04:01,SHIPPED,North
O0305,C0099,2025-01-22 12:04:01,DELIVERED,North
O0306,C0229,2025-01-25 12:04:01,PLACED,North
O0307,C0287,2025-03-07 12:04:01,PLACED,South
O0308,C0421,2026-06-01 12:04:01,PLACED,South
O0309,C0488,2026-03-12 12:04:01,DELIVERED,East
O0310,C0486,2026-02-01 12:04:01,CANCELLED,South
O0311,,2024-07-30 12:04:01,PLACED,North
O0312,C0314,2026-02-06 12:04:01,PLACED,South
O0313,C0098,2025-05-18 12:04:01,CANCELLED,East
O0314,C0223,2025-10-29 12:04:01,PLACED,South
O0315,,2024-12-29 12:04:01,RETURNED,East
O0316,C0036,2024-11-27 12:04:01,RETURNED,East
O0317,C0454,2026-06-22 12:04:01,SHIPPED,South
O0318,C0384,2026-06-05 12:04:01,RETURNED,North
O0319,C0284,2024-10-03 12:04:01,DELIVERED,North
O0320,C0431,13-08-2025,DELIVERED,North
O0321,C0478,01-07-2026,RETURNED,North
O0322,C0432,2024-09-06 12:04:01,RETURNED,East
O0323,C0232,2025-10-10 12:04:01,PLACED,West
O0324,C0115,2025-05-29 12:04:01,CANCELLED,North
O0325,C0285,17-05-2026,DELIVERED,South
O0326,C0073,2026-04-20 12:04:01,PLACED,South
O0327,,2026-04-24 12:04:01,SHIPPED,North
O0328,C0285,2025-08-20 12:04:01,SHIPPED,South
O0329,C0120,2025-12-29 12:04:01,RETURNED,North
O0330,C0108,2026-06-16 12:04:01,RETURNED,East
O0331,C0286,2025-12-27 12:04:01,RETURNED,West
O0332,C0376,2024-10-05 12:04:01,CANCELLED,South
O0333,C0387,2025-10-09 12:04:01,CANCELLED,West
O0334,C0389,2024-12-16 12:04:01,SHIPPED,North
O0335,C0181,08-05-2025,RETURNED,West
O0336,C0198,2025-08-26 12:04:01,DELIVERED,South
O0337,C0291,13-10-2024,CANCELLED,North
O0338,C0203,2026-03-29 12:04:01,CANCELLED,East
O0339,C0018,2024-08-17 12:04:01,DELIVERED,East
O0340,C0124,2026-04-30 12:04:01,PLACED,West
O0341,C0272,2024-11-30 12:04:01,PLACED,South
O0342,,2025-04-25 12:04:01,PLACED,West
O0343,C0046,2025-04-03 12:04:01,DELIVERED,South
O0344,C0244,2026-02-21 12:04:01,SHIPPED,South
O0345,C0150,22-10-2025,CANCELLED,West
O0346,C0068,2025-09-26 12:04:01,CANCELLED,North
O0347,C0495,23-05-2026,PLACED,East
O0348,C0410,2025-09-29 12:04:01,RETURNED,South
O0349,C0186,2025-11-15 12:04:01,SHIPPED,West
O0350,C0139,2025-12-25 12:04:01,DELIVERED,South
O0351,,2026-04-22 12:04:01,PLACED,South
O0352,,2024-12-12 12:04:01,CANCELLED,West
O0353,,2025-03-04 12:04:01,SHIPPED,South
O0354,C0441,2025-07-29 12:04:01,RETURNED,South
O0355,C0245,2026-06-28 12:04:01,CANCELLED,North
O0356,C0308,2024-10-16 12:04:01,DELIVERED,East
O0357,C0452,2025-03-12 12:04:01,CANCELLED,East
O0358,C0026,2025-12-31 12:04:01,DELIVERED,West
O0359,C0086,2025-03-26 12:04:01,DELIVERED,West
O0360,C0371,2024-07-28 12:04:01,PLACED,North
O0361,C0298,2025-04-13 12:04:01,RETURNED,South
O0362,C0181,2025-04-25 12:04:01,SHIPPED,East
O0363,C0285,2026-01-13 12:04:01,SHIPPED,South
O0364,C0171,2024-11-29 12:04:01,CANCELLED,South
O0365,C0078,2025-02-05 12:04:01,CANCELLED,North
O0366,C0066,2026-01-13 12:04:01,RETURNED,North
O0367,C0440,2025-07-04 12:04:01,DELIVERED,East
O0368,C0076,2025-02-18 12:04:01,PLACED,South
O0369,C0057,2026-04-09 12:04:01,PLACED,West
O0370,,2026-04-08 12:04:01,DELIVERED,West
O0371,C0013,2026-06-22 12:04:01,RETURNED,North
O0372,,2024-07-25 12:04:01,DELIVERED,North
O0373,C0175,2025-09-03 12:04:01,RETURNED,North
O0374,C0415,02-05-2025,SHIPPED,South
O0375,C0132,2025-03-03 12:04:01,RETURNED,West
O0376,C0090,2025-07-24 12:04:01,CANCELLED,East
O0377,C0346,2025-10-17 12:04:01,RETURNED,West
O0378,C0209,2025-07-25 12:04:01,SHIPPED,West
O0379,C0315,2024-08-02 12:04:01,CANCELLED,South
O0380,C0059,2025-09-13 12:04:01,SHIPPED,West
O0381,C0306,2025-07-07 12:04:01,PLACED,South
O0382,C0040,2026-04-21 12:04:01,SHIPPED,South
O0383,C0439,2025-03-17 12:04:01,PLACED,East
O0384,C0136,2025-12-15 12:04:01,CANCELLED,East
O0385,C0470,2025-11-07 12:04:01,SHIPPED,South
O0386,C0185,2026-04-30 12:04:01,DELIVERED,North
O0387,C0350,2024-07-16 12:04:01,CANCELLED,West
O0388,C0191,2025-04-18 12:04:01,CANCELLED,North
O0389,C0317,2025-04-29 12:04:01,CANCELLED,East
O0390,C0068,2025-02-03 12:04:01,CANCELLED,East
O0391,C0023,2026-01-16 12:04:01,PLACED,East
O0392,C0012,2024-09-06 12:04:01,DELIVERED,South
O0393,C0265,2026-01-11 12:04:01,SHIPPED,East
O0394,C0233,2024-11-05 12:04:01,RETURNED,North
O0395,C0344,2026-01-19 12:04:01,RETURNED,West
O0396,C0014,2025-12-07 12:04:01,PLACED,North
O0397,C0450,2024-07-17 12:04:01,RETURNED,North
O0398,C0188,2026-02-06 12:04:01,DELIVERED,South
O0399,C0284,2025-11-09 12:04:01,RETURNED,East
O0400,C0236,2026-06-27 12:04:01,RETURNED,South
O0401,C0223,2025-09-10 12:04:01,SHIPPED,South
O0402,C0167,2024-07-13 12:04:01,CANCELLED,South
O0403,C0333,2024-09-27 12:04:01,DELIVERED,East
O0404,C0162,2025-03-12 12:04:01,RETURNED,West
O0405,C0413,2025-10-19 12:04:01,CANCELLED,North
O0406,C0305,2025-10-09 12:04:01,RETURNED,East
O0407,C0124,2026-01-13 12:04:01,SHIPPED,North
O0408,C0216,2025-04-29 12:04:01,CANCELLED,South
O0409,C0449,2024-11-13 12:04:01,RETURNED,East
O0410,C0331,2024-09-27 12:04:01,CANCELLED,North
O0411,C0326,2026-04-02 12:04:01,SHIPPED,East
O0412,C0366,2024-11-09 12:04:01,SHIPPED,North
O0413,C0357,2025-06-02 12:04:01,RETURNED,South
O0414,C0097,2025-04-17 12:04:01,RETURNED,South
O0415,,2025-05-20 12:04:01,PLACED,South
O0416,C0104,2026-02-03 12:04:01,PLACED,East
O0417,C0250,2025-03-05 12:04:01,SHIPPED,East
O0418,C0231,2024-09-08 12:04:01,DELIVERED,East
O0419,C0460,2026-05-13 12:04:01,CANCELLED,South
O0420,C0488,2024-11-17 12:04:01,CANCELLED,North
O0421,C0256,2025-03-03 12:04:01,CANCELLED,East
O0422,C0241,2026-03-19 12:04:01,RETURNED,West
O0423,C0269,2026-04-17 12:04:01,PLACED,North
O0424,C0495,2025-12-05 12:04:01,DELIVERED,South
O0425,C0390,2025-05-05 12:04:01,SHIPPED,South
O0426,C0474,2025-02-17 12:04:01,RETURNED,South
O0427,C0305,30-09-2024,SHIPPED,North
O0428,C0380,2024-10-14 12:04:01,PLACED,South
O0429,C0415,2026-02-12 12:04:01,SHIPPED,South
O0430,C0322,2024-08-24 12:04:01,SHIPPED,South
O0431,C0482,2025-05-23 12:04:01,CANCELLED,South
O0432,C0184,2025-12-03 12:04:01,PLACED,West
O0433,C0126,2025-06-24 12:04:01,DELIVERED,South
O0434,C0295,2026-05-24 12:04:01,DELIVERED,North
O0435,C0235,2025-05-11 12:04:01,DELIVERED,West
O0436,C0177,2026-05-23 12:04:01,CANCELLED,North
O0437,C0297,2024-12-14 12:04:01,CANCELLED,East
O0438,C0452,2025-02-19 12:04:01,PLACED,South
O0439,C0201,2026-07-05 12:04:01,SHIPPED,South
O0440,C0297,2025-10-08 12:04:01,CANCELLED,East
O0441,C0493,2026-04-09 12:04:01,SHIPPED,South
O0442,C0221,2025-04-11 12:04:01,DELIVERED,North
O0443,C0399,2026-06-17 12:04:01,PLACED,South
O0444,C0012,2025-09-22 12:04:01,SHIPPED,East
O0445,C0323,2025-09-30 12:04:01,PLACED,North
O0446,C0295,2026-05-28 12:04:01,SHIPPED,West
O0447,C0048,2025-08-17 12:04:01,SHIPPED,North
O0448,C0075,2024-10-23 12:04:01,SHIPPED,North
O0449,C0104,2025-04-07 12:04:01,DELIVERED,South
O0450,C0374,2025-02-12 12:04:01,CANCELLED,South
O0451,,2025-09-15 12:04:01,CANCELLED,North
O0452,C0122,2025-02-20 12:04:01,DELIVERED,West
O0453,C0164,2024-11-04 12:04:01,DELIVERED,South
O0454,C0208,2025-06-06 12:04:01,DELIVERED,North
O0455,C0162,2026-02-03 12:04:01,DELIVERED,South
O0456,C0301,2025-06-13 12:04:01,SHIPPED,West
O0457,C0077,2025-12-25 12:04:01,CANCELLED,South
O0458,C0406,2026-03-17 12:04:01,DELIVERED,West
O0459,C0289,2026-04-13 12:04:01,SHIPPED,South
O0460,C0475,2026-05-20 12:04:01,RETURNED,North
O0461,C0173,2025-09-10 12:04:01,PLACED,West
O0462,C0334,2025-09-21 12:04:01,PLACED,West
O0463,C0179,2025-09-09 12:04:01,SHIPPED,West
O0464,C0114,31-07-2024,SHIPPED,South
O0465,C0462,2026-01-14 12:04:01,DELIVERED,East
O0466,C0049,2026-04-21 12:04:01,PLACED,East
O0467,C0085,2024-11-01 12:04:01,RETURNED,South
O0468,C0461,2024-07-17 12:04:01,RETURNED,West
O0469,C0026,2025-06-30 12:04:01,DELIVERED,North
O0470,C0467,2026-05-05 12:04:01,RETURNED,West
O0471,C0499,21-11-2025,SHIPPED,West
O0472,C0203,2024-08-14 12:04:01,SHIPPED,West
O0473,C0406,2025-05-14 12:04:01,RETURNED,North
O0474,C0251,17-02-2026,SHIPPED,North
O0475,C0408,2025-09-25 12:04:01,DELIVERED,South
O0476,C0063,2025-04-29 12:04:01,SHIPPED,West
O0477,C0199,2026-06-10 12:04:01,SHIPPED,East
O0478,C0394,2025-10-28 12:04:01,PLACED,South
O0479,C0132,2024-11-20 12:04:01,DELIVERED,South
O0480,C0210,2025-06-13 12:04:01,DELIVERED,South
O0481,C0129,2024-08-22 12:04:01,CANCELLED,South
O0482,C0263,2024-12-07 12:04:01,SHIPPED,North
O0483,C0341,2025-08-11 12:04:01,CANCELLED,South
