product_id,product_name,category,subcategory,cost_price
P0061,Laptop,Electronics,Laptop,1219.79
P0062,Chair,Home,Chair,2481.45
P0063,Table,Home,Table,1454.56
P0064,Lamp,Home,Lamp,3912.69
P0065,Sofa,Home,Sofa,2054.64
P0066,Jacket,Clothing,Jacket,2729.66
P0067,Table,Home,Table,548.67
P0068,Novel,Books,Novel,2205.52
P0069,Shirt,Clothing,Shirt,4151.08
P0070,Chair,Home,Chair,4501.44
P0071,Sofa,Home,Sofa,840.01
P0072,T-Shirt,Clothing,T-Shirt,4620.03
P0073,Lamp,Home,Lamp,997.47
P0074,Mobile,Electronics,Mobile,3308.87
P0075,Programming,Books,Programming,931.24
P0076,Shirt,Clothing,Shirt,3224.72
P0077,Mobile,Electronics,Mobile,2253.07
P0078,History,Books,History,4618.65
P0079,Jacket,Clothing,Jacket,4589.0
P0080,Table,Home,Table,4259.29
P0081,Chair,Home,Chair,414.86
P0082,History,Books,History,4401.02
P0083, SHIRT ,Clothing,Shirt,787.91
P0084,Shirt,Clothing,Shirt,296.87
P0085,Jacket,Clothing,Jacket,3328.18
P0086,Novel,Books,Novel,1773.11
P0087,Table,Home,Table,1704.91
P0088,Shirt,Clothing,Shirt,3123.03
P0089,Jacket,Clothing,Jacket,3325.17
P0090,Jacket,Clothing,Jacket,521.81
P0091,Chair,Home,Chair,1788.7
P0092,Table,Home,Table,2349.07
P0093,Mobile,Electronics,Mobile,615.58
P0094,Chair,Home,Chair,2343.76
P0095,Table,Home,Table,1582.61
P0096,Jeans,Clothing,Jeans,616.43
P0097,Laptop,Electronics,Laptop,2027.08
P0098,Headphones,Electronics,Headphones,2067.29
P0099,Sofa,Home,Sofa,3836.94
P0100,Chair,Home,Chair,4441.89
P0101, T-SHIRT ,Clothing,T-Shirt,2632.23
P0102,Sofa,Home,Sofa,2849.88
P0103,Programming,Books,Programming,1204.31
P0104,Shirt,Clothing,Shirt,1279.55
P0105,History,Books,History,3512.25
P0106,Headphones,Electronics,Headphones,3139.13
P0107,History,Books,History,1774.03
P0108,Chair,Home,Chair,4833.22
P0109,Science,Books,Science,3876.03
P0110,Shirt,Clothing,Shirt,4492.9
P0111,Science,Books,Science,2273.37
P0112,Chair,Home,Chair,783.5
P0113,Chair,Home,Chair,4558.99
P0114,Mobile,Electronics,Mobile,3183.35
P0115, NOVEL ,Books,Novel,3160.23
P0116,Programming,Books,Programming,4458.11
P0117,Headphones,Electronics,Headphones,3558.54
P0118,Novel,Books,Novel,716.14
P0119,Shirt,Clothing,Shirt,4702.73
P0120,Headphones,Electronics,Headphones,3387.12
P0121,Shirt,Clothing,Shirt,3970.97
P0122,Jacket,Clothing,Jacket,4132.11
P0123,Mobile,Electronics,Mobile,580.06
P0124,Chair,Home,Chair,1319.91
P0125,Table,Home,Table,1388.29
P0126,Shirt,Clothing,Shirt,4912.21
P0127,Sofa,Home,Sofa,4984.87
P0128,Chair,Home,Chair,1787.54
P0129,Laptop,Electronics,Laptop,1354.26
P0130,Mobile,Electronics,Mobile,1980.1
P0131,Jacket,Clothing,Jacket,2363.97
P0132,Jeans,Clothing,Jeans,4053.02
P0133,T-Shirt,Clothing,T-Shirt,4228.46
P0134,Headphones,Electronics,Headphones,1021.65
P0135,Programming,Books,Programming,3803.08
P0136,Jacket,Clothing,Jacket,675.43
P0137,Lamp,Home,Lamp,4147.58
P0138,Jeans,Clothing,Jeans,2041.35
P0139,Lamp,Home,Lamp,4283.64
P0140,Shirt,Clothing,Shirt,4704.8
P0141,Shirt,Clothing,Shirt,3166.47
P0142,Lamp,Home,Lamp,2181.82
P0143,Science,Books,Science,3994.63
P0144,Table,Home,Table,4637.87
P0145,Laptop,Electronics,Laptop,4729.02
P0146,Chair,Home,Chair,1845.82
P0147,T-Shirt,Clothing,T-Shirt,2519.04
P0148,Jacket,Clothing,Jacket,1766.87
P0149,Lamp,Home,Lamp,967.47
P0150,History,Books,History,2140.43
P0151,Jeans,Clothing,Jeans,472.18
P0152,Jeans,Clothing,Jeans,907.01
P0153,History,Books,History,2817.66
P0154,Lamp,Home,Lamp,1048.8
P0155,Sofa,Home,Sofa,575.23
P0156,Jeans,Clothing,Jeans,780.12
P0157,T-Shirt,Clothing,T-Shirt,4678.77
P0158,Table,Home,Table,117.82
P0159,History,Books,History,3206.54
P0160,Science,Books,Science,938.2
P0161,Jacket,Clothing,Jacket,2576.92
P0162,Mobile,Electronics,Mobile,1918.87
P0163,Jacket,Clothing,Jacket,1171.22
P0164,Science,Books,Science,2369.86
P0165,Sofa,Home,Sofa,3328.6
P0166,Jeans,Clothing,Jeans,1826.52
P0167,Lamp,Home,Lamp,2326.83
P0168,Sofa,Home,Sofa,2958.76
P0169,Laptop,Electronics,Laptop,4222.03
P0170,Chair,Home,Chair,4803.25
P0171,Mobile,Electronics,Mobile,2533.22
P0172,Sofa,Home,Sofa,2099.15
P0173, JEANS ,Clothing,Jeans,2000.84
P0174,Jacket,Clothing,Jacket,4384.0
P0175,Smart Watch,Electronics,Smart Watch,2069.9
P0176,Headphones,Electronics,Headphones,1249.87
P0177,Smart Watch,Electronics,Smart Watch,4297.1
P0178,Table,Home,Table,166.84
P0179,T-Shirt,Clothing,T-Shirt,4938.86
P0180,Laptop,Electronics,Laptop,3532.09
P0181,Laptop,Electronics,Laptop,2955.66
P0182,Table,Home,Table,4075.58
P0183,Programming,Books,Programming,4765.95
P0184,Science,Books,Science,1587.79
P0185,Shirt,Clothing,Shirt,3304.64
P0186,Table,Home,Table,1047.61
P0187,Shirt,Clothing,Shirt,3137.63
P0188,Sofa,Home,Sofa,3452.56
P0189,Laptop,Electronics,Laptop,643.63
P0190,Table,Home,Table,726.35
P0191,Table,Home,Table,333.53
P0192,Lamp,Home,Lamp,4995.19
P0193,Programming,Books,Programming,2482.93
P0194,Jeans,Clothing,Jeans,951.29
P0195,Table,Home,Table,2699.61
P0196,Jeans,Clothing,Jeans,1816.64
P0197,Novel,Books,Novel,2452.07
P0198,Smart Watch,Electronics,Smart Watch,3294.05
P0199,Shirt,Clothing,Shirt,1635.24
P0200,Sofa,Home,Sofa,3594.25
P0201,History,Books,History,1392.69
P0202,Shirt,Clothing,Shirt,501.62
P0203,Jeans,Clothing,Jeans,574.61
P0204,Laptop,Electronics,Laptop,2679.57
P0205,Novel,Books,Novel,1310.19
P0206,T-Shirt,Clothing,T-Shirt,3919.7
P0207,Shirt,Clothing,Shirt,272.57
P0208,Novel,Books,Novel,3192.35
P0209,Novel,Books,Novel,2380.13
P0210,Science,Books,Science,2188.12
P0211,Jacket,Clothing,Jacket,2924.79
P0212, NOVEL ,Books,Novel,4799.7
P0213,Programming,Books,Programming,1323.7
P0214,Novel,Books,Novel,3682.25
P0215,Laptop,Electronics,Laptop,1332.79
P0216,Jeans,Clothing,Jeans,1862.23
P0217,Laptop,Electronics,Laptop,1818.83
P0218,Smart Watch,Electronics,Smart Watch,2987.84
P0219,Jeans,Clothing,Jeans,1803.2
P0220,Laptop,Electronics,Laptop,2761.96
P0221,Chair,Home,Chair,927.18
P0222,Science,Books,Science,4964.34
P0223,Jacket,Clothing,Jacket,2469.95
P0224,T-Shirt,Clothing,T-Shirt,2761.5
P0225,Smart Watch,Electronics,Smart Watch,2001.1
P0226,Table,Home,Table,813.87
P0227,Programming,Books,Programming,3710.47
P0228,History,Books,History,2930.68
P0229,Novel,Books,Novel,3658.78
P0230,Laptop,Electronics,Laptop,4255.51
P0231,Novel,Books,Novel,489.13
P0232,Sofa,Home,Sofa,3707.79
P0233,Novel,Books,Novel,2764.39
P0234,Science,Books,Science,1837.14
P0235,History,Books,History,1161.69
P0236,Mobile,Electronics,Mobile,2223.49
P0237,Sofa,Home,Sofa,433.53
P0238,Science,Books,Science,2027.41
P0239,Lamp,Home,Lamp,2883.81
P0240,Programming,Books,Programming,4192.56
P0241,Chair,Home,Chair,4413.47
P0242,Table,Home,Table,3924.01
P0243,Lamp,Home,Lamp,2110.53
P0244,Mobile,Electronics,Mobile,4820.25
P0245,Programming,Books,Programming,3320.46
P0246,Chair,Home,Chair,4183.2
P0247,Science,Books,Science,879.01
P0248,Sofa,Home,Sofa,2064.01
P0249,Sofa,Home,Sofa,3313.49
P0250,Mobile,Electronics,Mobile,2677.25
P0251,Science,Books,Science,2080.79
P0252,Novel,Books,Novel,3847.08
P0253,Lamp,Home,Lamp,4205.96
P0254,Programming,Books,Programming,2160.38
P0255,T-Shirt,Clothing,T-Shirt,409.94
P0256,Lamp,Home,Lamp,4565.31
P0257,T-Shirt,Clothing,T-Shirt,3271.68
P0258,T-Shirt,Clothing,T-Shirt,744.23
P0259,Table,Home,Table,3958.65
P0260,Laptop,Electronics,Laptop,1542.58
P0261,Laptop,Electronics,Laptop,2963.52
P0262,Jeans,Clothing,Jeans,1807.46
P0263,Smart Watch,Electronics,Smart Watch,3426.57
P0264,Lamp,Home,Lamp,3795.42
P0265,Jeans,Clothing,Jeans,707.83
P0266,Shirt,Clothing,Shirt,1261.75
P0267,Lamp,Home,Lamp,4509.96
P0268,Shirt,Clothing,Shirt,2266.44
P0269,Table,Home,Table,2820.1
P0270,Laptop,Electronics,Laptop,2523.8
P0271,Chair,Home,Chair,3660.84
P0272, CHAIR ,Home,Chair,2171.4
P0273,Sofa,Home,Sofa,3417.51
P0274,Table,Home,Table,3509.08
P0275,Jacket,Clothing,Jacket,3999.21
P0276,Shirt,Clothing,Shirt,1781.49
P0277,Programming,Books,Programming,3913.17
P0278,Mobile,Electronics,Mobile,1374.73
P0279,Headphones,Electronics,Headphones,4737.52
P0280,Laptop,Electronics,Laptop,2000.74
P0281,Jeans,Clothing,Jeans,4013.05
P0282,Table,Home,Table,4146.64
P0283,Science,Books,Science,1804.53
P0284,Mobile,Electronics,Mobile,2510.2
P0285,Jeans,Clothing,Jeans,2304.24
P0286,Programming,Books,Programming,2658.73
P0287,Smart Watch,Electronics,Smart Watch,374.1
P0288,Novel,Books,Novel,2870.51
P0289,Science,Books,Science,2744.13
P0290,Laptop,Electronics,Laptop,2249.03
P0291,Jeans,Clothing,Jeans,1917.65
P0292,Lamp,Home,Lamp,2309.55
P0293,T-Shirt,Clothing,T-Shirt,1563.58
P0294,Jacket,Clothing,Jacket,3655.47
P0295,Sofa,Home,Sofa,2346.5
P0296,Lamp,Home,Lamp,4190.9
P0297,Novel,Books,Novel,3731.83
P0298,Science,Books,Science,418.9
P0299,Jeans,Clothing,Jeans,1662.06
P0300,Shirt,Clothing,Shirt,2670.73
P0301,Laptop,Electronics,Laptop,4758.8
P0302,Science,Books,Science,621.1
P0303,Novel,Books,Novel,3484.58
P0304,Jacket,Clothing,Jacket,4778.66
P0305,Headphones,Electronics,Headphones,1008.78
P0306,Novel,Books,Novel,4812.84
P0307,Shirt,Clothing,Shirt,3971.85
P0308,Jacket,Clothing,Jacket,1171.8
P0309,Sofa,Home,Sofa,1937.84
P0310,Jeans,Clothing,Jeans,3180.64
P0311,Table,Home,Table,604.33
P0312,Lamp,Home,Lamp,3423.32
P0313,History,Books,History,3741.69
P0314,Laptop,Electronics,Laptop,2276.46
P0315,Novel,Books,Novel,630.5
P0316, HEADPHONES ,Electronics,Headphones,312.36
P0317,T-Shirt,Clothing,T-Shirt,4884.02
P0318,Mobile,Electronics,Mobile,4381.56
P0319,Programming,Books,Programming,751.11
P0320,Table,Home,Table,3716.66
P0321,History,Books,History,2301.9
P0322,T-Shirt,Clothing,T-Shirt,3821.13
P0323,Laptop,Electronics,Laptop,3973.85
P0324,Science,Books,Science,522.19
P0325,Lamp,Home,Lamp,1485.78
P0326,Chair,Home,Chair,3958.55
P0327,Lamp,Home,Lamp,3834.4
P0328,Science,Books,Science,3830.59
P0329,Science,Books,Science,3070.52
P0330,T-Shirt,Clothing,T-Shirt,3199.22
P0331,Smart Watch,Electronics,Smart Watch,4481.72
P0332,Mobile,Electronics,Mobile,4493.57
P0333,Novel,Books,Novel,3458.88
P0334, JACKET ,Clothing,Jacket,4069.33
P0335,Shirt,Clothing,Shirt,205.64
P0336,Novel,Books,Novel,3383.79
P0337,Jeans,Clothing,Jeans,4798.6
P0338,Headphones,Electronics,Headphones,1552.76
P0339,Chair,Home,Chair,3021.3
P0340,T-Shirt,Clothing,T-Shirt,3567.05
P0341,Table,Home,Table,3288.92
P0342,Laptop,Electronics,Laptop,970.59
P0343,Laptop,Electronics,Laptop,457.76
P0344, SOFA ,Home,Sofa,2121.51
P0345,Jeans,Clothing,Jeans,1989.75
P0346,Programming,Books,Programming,3390.08
P0347,Science,Books,Science,2315.04
P0348,Jeans,Clothing,Jeans,611.56
P0349,T-Shirt,Clothing,T-Shirt,2524.73
P0350,T-Shirt,Clothing,T-Shirt,478.21
P0351,Chair,Home,Chair,3136.05
P0352,Sofa,Home,Sofa,1485.61
P0353,Novel,Books,Novel,1623.92
P0354,Novel,Books,Novel,3378.04
P0355,Programming,Books,Programming,2006.23
P0356,Lamp,Home,Lamp,898.78
P0357,Shirt,Clothing,Shirt,593.97
P0358,Mobile,Electronics,Mobile,1697.73
P0359,Science,Books,Science,2167.31
P0360,Headphones,Electronics,Headphones,1374.79
P0361,Lamp,Home,Lamp,2020.96
P0362,Programming,Books,Programming,2460.04
P0363,Headphones,Electronics,Headphones,3397.68
P0364,Smart Watch,Electronics,Smart Watch,3403.91
P0365,Laptop,Electronics,Laptop,3845.71
P0366,Lamp,Home,Lamp,1386.21
P0367, MOBILE ,Electronics,Mobile,4040.72
P0368,Lamp,Home,Lamp,559.54
P0369,Mobile,Electronics,Mobile,612.98
P0370,Laptop,Electronics,Laptop,1479.37
P0371,Jacket,Clothing,Jacket,3530.54
P0372,Headphones,Electronics,Headphones,3149.6
P0373, HISTORY ,Books,History,4882.05
P0374,Laptop,Electronics,Laptop,201.12
P0375,Headphones,Electronics,Headphones,856.86
P0376,Science,Books,Science,951.1
P0377,Smart Watch,Electronics,Smart Watch,4725.53
P0378,Laptop,Electronics,Laptop,1017.19
P0379,Novel,Books,Novel,4680.84
P0380,Programming,Books,Programming,1906.94
P0381,Table,Home,Table,1389.09
P0382,Smart Watch,Electronics,Smart Watch,761.36
P0383,T-Shirt,Clothing,T-Shirt,1206.66
P0384, SMART WATCH ,Electronics,Smart Watch,1682.87
P0385,Table,Home,Table,2065.86
P0386,Programming,Books,Programming,2365.61
P0387,Shirt,Clothing,Shirt,4961.94
P0388,Lamp,Home,Lamp,3796.68
P0389,Table,Home,Table,1356.4
P0390,Programming,Books,Programming,4084.81
P0391,Laptop,Electronics,Laptop,3732.56
P0392,Chair,Home,Chair,1677.01
P0393,Mobile,Electronics,Mobile,2258.24
P0394,Jacket,Clothing,Jacket,592.0
P0395,Mobile,Electronics,Mobile,2289.05
P0396,Mobile,Electronics,Mobile,4514.22
P0397,Programming,Books,Programming,3396.02
P0398,Programming,Books,Programming,3227.9
P0399,Mobile,Electronics,Mobile,257.98
P0400,Headphones,Electronics,Headphones,171.61
P0401,Programming,Books,Programming,186.22
P0402,Jacket,Clothing,Jacket,801.64
P0403,Chair,Home,Chair,4018.61
P0404,Jeans,Clothing,Jeans,4000.54
P0405,Table,Home,Table,2136.32
P0406,Jacket,Clothing,Jacket,3157.48
P0407,Mobile,Electronics,Mobile,1650.71
P0408,Laptop,Electronics,Laptop,2718.9
P0409,Table,Home,Table,3863.83
P0410,Novel,Books,Novel,4306.64
P0411,Chair,Home,Chair,771.86
P0412,Jacket,Clothing,Jacket,3882.58
P0413,History,Books,History,131.42
P0414,Programming,Books,Programming,839.7
P0415,Novel,Books,Novel,2619.92
P0416,Science,Books,Science,4665.39
P0417,Chair,Home,Chair,695.5
P0418,Laptop,Electronics,Laptop,705.51
P0419,Smart Watch,Electronics,Smart Watch,1020.48
P0420,Chair,Home,Chair,2186.95
P0421,Laptop,Electronics,Laptop,3692.08
P0422, SCIENCE ,Books,Science,3844.93
P0423,Programming,Books,Programming,740.75
P0424,Novel,Books,Novel,4385.93
P0425,Novel,Books,Novel,3646.87
P0426,Table,Home,Table,2701.28
P0427,Jeans,Clothing,Jeans,3506.63
P0428,Laptop,Electronics,Laptop,856.32
P0429,Programming,Books,Programming,3388.66
P0430,Novel,Books,Novel,1930.55
P0431,Laptop,Electronics,Laptop,4359.15
P0432, HEADPHONES ,Electronics,Headphones,3885.41
P0433,Table,Home,Table,1092.24
P0434,Smart Watch,Electronics,Smart Watch,2358.04
P0435,T-Shirt,Clothing,T-Shirt,2283.1
P0436,Headphones,Electronics,Headphones,4824.54
P0437,Jacket,Clothing,Jacket,2917.52
P0438,Jeans,Clothing,Jeans,4856.02
P0439,Programming,Books,Programming,3759.41
P0440,History,Books,History,1844.74
P0441,Science,Books,Science,4537.13
P0442,History,Books,History,2351.29
P0443,Shirt,Clothing,Shirt,490.16
P0444,Shirt,Clothing,Shirt,3554.6
P0445,Mobile,Electronics,Mobile,2206.62
P0446,Shirt,Clothing,Shirt,1645.66
P0447,Sofa,Home,Sofa,3427.08
P0448,Lamp,Home,Lamp,954.55
P0449,Mobile,Electronics,Mobile,4324.44
P0450,Science,Books,Science,3658.7
P0451,Programming,Books,Programming,2054.22
P0452,Lamp,Home,Lamp,2642.42
P0453,Sofa,Home,Sofa,2695.53
P0454,Novel,Books,Novel,4003.95
P0455,T-Shirt,Clothing,T-Shirt,884.69
P0456,T-Shirt,Clothing,T-Shirt,2837.46
P0457,Smart Watch,Electronics,Smart Watch,3827.94
P0458,Science,Books,Science,1685.7
P0459,Mobile,Electronics,Mobile,4389.38
P0460,Novel,Books,Novel,2149.43
P0461,Laptop,Electronics,Laptop,1477.49
P0462,Jeans,Clothing,Jeans,2225.35
P0463, HEADPHONES ,Electronics,Headphones,3073.45
P0464,Smart Watch,Electronics,Smart Watch,4345.95
P0465,History,Books,History,458.46
P0466,Chair,Home,Chair,648.73
P0467,Sofa,Home,Sofa,2892.02
P0468,Smart Watch,Electronics,Smart Watch,2184.25
P0469,Jacket,Clothing,Jacket,1187.46
P0470,Smart Watch,Electronics,Smart Watch,3275.59
P0471,Shirt,Clothing,Shirt,3826.22
P0472,T-Shirt,Clothing,T-Shirt,2357.95
P0473, NOVEL ,Books,Novel,1193.91
P0474,Smart Watch,Electronics,Smart Watch,3368.27
P0475,Sofa,Home,Sofa,4781.01
P0476,Programming,Books,Programming,1473.81
P0477, LAMP ,Home,Lamp,2741.24
P0478,Lamp,Home,Lamp,4403.97
P0479,Chair,Home,Chair,4512.38
P0480,Novel,Books,Novel,3457.65
P0481,History,Books,History,2449.01
P0482,Smart Watch,Electronics,Smart Watch,1511.43
P0483,Novel,Books,Novel,3776.91
P0484,Jeans,Clothing,Jeans,1996.6
P0485,Sofa,Home,Sofa,2127.27
P0486,Programming,Books,Programming,546.68
P0487,Mobile,Electronics,Mobile,4923.22
P0488,Laptop,Electronics,Laptop,4199.82
P0489,Science,Books,Science,1035.73
P0490,Headphones,Electronics,Headphones,2105.11
P0491,Jeans,Clothing,Jeans,1349.25
P0492,Novel,Books,Novel,1278.42
P0493,Lamp,Home,Lamp,2549.11
P0494,Jeans,Clothing,Jeans,4505.98
P0495,Jacket,Clothing,Jacket,1935.21
P0496,Jacket,Clothing,Jacket,4126.34
P0497,Smart Watch,Electronics,Smart Watch,150.71
P0498,Shirt,Clothing,Shirt,730.36
P0499,Programming,Books,Programming,2369.88
P0500,Mobile,Electronics,Mobile,4343.83
